timestamps,angvel_base_hist,I_hist,h_com_hist,angmom_wb_hist
0.07299995422,[-0.15888707 -0.12873583 -1.17521145],[0.77466551 1.20675121 0.62820269],0.5327048342,[-0.27436248 -0.43871107 -0.7118397 ]
0.07403802872,[-0.16687959 -0.1259705  -1.16843283],[0.77444829 1.2074969  0.62826657],0.5327412557,[-0.28027786 -0.43173153 -0.7097152 ]
0.07500195503,[-0.17366422 -0.12481788 -1.16748576],[0.77423897 1.20824459 0.62833444],0.5327805014,[-0.28553478 -0.43609688 -0.70916608]
0.07600092888,[-0.17767324 -0.11041643 -1.16681614],[0.77399006 1.20892833 0.62838553],0.5328224536,[-0.28899541 -0.42323962 -0.70995389]
0.07704424858,[-0.17696776 -0.07899831 -1.17475674],[0.77376588 1.20965302 0.62844002],0.5328669759,[-0.28964295 -0.41243871 -0.71446621]
0.07800626755,[-0.17727536 -0.05742548 -1.18162044],[0.77358727 1.21035249 0.62849883],0.532913915,[-0.29091714 -0.39035067 -0.71832427]
0.07903289795,[-0.17958815 -0.07622641 -1.1877558 ],[0.77334424 1.21104684 0.6285498 ],0.5329631026,[-0.2937766  -0.4238146  -0.72191208]
0.08000254631,[-0.18745931 -0.084196   -1.18548844],[0.77321327 1.21179866 0.62861876],0.5330143584,[-0.30018936 -0.43415213 -0.72223594]
0.08100628853,[-0.18919803 -0.10981207 -1.18291286],[0.77307174 1.21257279 0.62869375],0.5330674926,[-0.30145051 -0.4763417  -0.72022399]
0.0820016861,[-0.18680737 -0.12254347 -1.18252167],[0.77289312 1.21334328 0.62876962],0.5331223095,[-0.30002905 -0.48075081 -0.72034802]
0.08300161362,[-0.17760956 -0.14021222 -1.18209861],[0.77282137 1.21416021 0.62886774],0.5331786101,[-0.29309939 -0.49625969 -0.71882226]
0.0840382576,[-0.17457722 -0.17141351 -1.16881585],[0.77273526 1.21502001 0.62897223],0.5332361963,[-0.28927556 -0.50619386 -0.71013079]
0.08500218391,[-0.17149459 -0.17867982 -1.17300218],[0.77266593 1.21584142 0.62907976],0.5332948737,[-0.28756167 -0.49791905 -0.71160802]
0.08601021767,[-0.17316528 -0.17149541 -1.18494826],[0.77267975 1.21678203 0.62920433],0.5333544558,[-0.29042531 -0.47390152 -0.71759585]
0.08700609207,[-0.18340824 -0.16945121 -1.18662336],[0.77270762 1.21772613 0.62932567],0.5334147668,[-0.29945166 -0.44690796 -0.72126661]
0.08800625801,[-0.18878214 -0.17172174 -1.19770367],[0.77233968 1.21819414 0.62934484],0.5334756457,[-0.30539196 -0.44522213 -0.72881708]
0.08900308609,[-0.19764023 -0.17160186 -1.19572378],[0.77233414 1.21911211 0.6294473 ],0.5335369491,[-0.31251339 -0.4357769  -0.72880914]
0.09000253677,[-0.20240581 -0.17111857 -1.18976672],[0.77231858 1.2199469  0.62954798],0.5335985543,[-0.31595556 -0.44001883 -0.72622216]
0.09100365639,[-0.20070676 -0.17070547 -1.19076181],[0.77280331 1.22137499 0.62973956],0.5336603621,[-0.31524116 -0.40576451 -0.72647378]
0.092004776,[-0.20275581 -0.16596024 -1.1841439 ],[0.77288997 1.22233036 0.62985787],0.5337222993,[-0.31646348 -0.39806964 -0.72301268]
0.09300208092,[-0.20773251 -0.16028827 -1.18304176],[0.77275665 1.22359832 0.62980615],0.5337843205,[-0.32050772 -0.40056159 -0.72242161]
0.09400677681,[-0.21229152 -0.15366155 -1.18112942],[0.77278777 1.22445186 0.62990462],0.5338464101,[-0.32431246 -0.41321884 -0.72202513]
0.09500479698,[-0.225883   -0.1437574  -1.15254525],[0.77247477 1.22486151 0.62990783],0.5339085833,[-0.33134323 -0.40874624 -0.70672659]
0.09600090981,[-0.224408   -0.13200134 -1.14652397],[0.77312756 1.22638696 0.63012002],0.5339708869,[-0.33008382 -0.40995785 -0.70286915]
0.09699892998,[-0.21724676 -0.12010581 -1.15342434],[0.77322102 1.22726082 0.63022782],0.5340333993,[-0.32596096 -0.40912733 -0.70690083]
0.09800076485,[-0.21732825 -0.10304155 -1.15349899],[0.77345382 1.22827947 0.63036334],0.5340962308,[-0.32626558 -0.39519768 -0.70619925]
0.09899926186,[-0.22208656 -0.08701679 -1.15337218],[0.77325293 1.22876254 0.6303868 ],0.5341595223,[-0.33024266 -0.40231835 -0.70681571]
0.09999990463,[-0.22644418 -0.07311834 -1.14983501],[0.77341773 1.22966736 0.63049839],0.5342234446,[-0.3338262  -0.39442328 -0.70587649]
0.1010038853,[-0.22307697 -0.05873419 -1.14487818],[0.77356969 1.23054109 0.63060857],0.534288196,[-0.33108527 -0.40086373 -0.70302271]
0.1020002365,[-0.21885107 -0.04277159 -1.1350651 ],[0.77373952 1.23140673 0.6307113 ],0.534354001,[-0.32678658 -0.38048821 -0.69664148]
0.1030085087,[-0.21641779 -0.02997185 -1.12339422],[0.77395819 1.23231586 0.63082773],0.534421107,[-0.32366027 -0.37911652 -0.68917734]
0.1040008068,[-0.2172631  -0.02019384 -1.10874761],[0.77402471 1.23303286 0.63091901],0.5344897817,[-0.32284889 -0.40591012 -0.68087918]
0.1050066948,[-0.22286901 -0.01356954 -1.0948312 ],[0.77424379 1.23390181 0.63102739],0.5345603096,[-0.32570885 -0.39996436 -0.67282015]
0.1059992313,[-0.22123919 -0.01056408 -1.09147538],[0.77449473 1.23480184 0.6311469 ],0.5346329885,[-0.32405326 -0.39135966 -0.66930762]
0.1070353985,[-0.2273752  -0.01298093 -1.07866561],[0.77473724 1.2356712  0.63125584],0.5347081258,[-0.3281053  -0.3718533  -0.66428207]
0.1080021858,[-0.23512179 -0.02063316 -1.0684829 ],[0.7750804  1.2366499  0.63138083],0.5347860343,[-0.33341442 -0.36412639 -0.65934553]
0.1090447903,[-0.24343113 -0.02735225 -1.06231861],[0.77550914 1.23770908 0.6315139 ],0.5348670281,[-0.3399515  -0.32763114 -0.65771342]
0.1099984646,[-0.24523543 -0.03464137 -1.06526692],[0.77582503 1.23863652 0.63162527],0.5349514187,[-0.34245957 -0.30479803 -0.66037786]
